region,year,share_online
Астраханская область,2021,1.3
Волгоградская область,2021,4.3
Ростовская область,2021,6.2
г. Севастополь,2021,10.4
Северо-Кавказский федеральный округ,2021,0.9
Республика Дагестан,2021,0.1
Республика Ингушетия,2021,0.3
Кабардино-Балкарская Республика,2021,0.3
Карачаево-Черкесская Республика,2021,0.8
Республика Северная Осетия -Алания,2021,0.6
Чеченская Республика,2021,0.1
Ставропольский край,2021,2.3
Приволжский федеральный округ,2021,3.5
Республика Башкортостан,2021,0.8
Республика Марий Эл,2021,2.4
Республика Мордовия,2021,1.7
Республика Татарстан,2021,5.3
Удмуртская Республика,2021,1.9
Чувашская Республика,2021,3.1
Пермский край,2021,2.4
Кировская область,2021,3.8
Нижегородская область,2021,5.2
Оренбургская область,2021,3.5
Пензенская область,2021,1.8
Самарская область,2021,5.0
Саратовская область,2021,4.6
Ульяновская область,2021,2.3
Уральский федеральный округ,2021,4.8
Курганская область,2021,3.2
Свердловская область,2021,7.8
Тюменская область,2021,1.7
в том числе: Ханты-Мансийский авт. округ,2021,1.7
Ямало-Ненецкий авт. округ,2021,1.6
Тюменская область без авт. округов,2021,1.7
Челябинская область,2021,4.6
Сибирский федеральный округ1),2021,4.0
Республика Алтай,2021,3.8
Республика Тыва,2021,1.5
Республика Хакасия,2021,0.9
Алтайский край,2021,3.6
Красноярский край,2021,2.1
Иркутская область,2021,1.9
Кемеровская область - Кузбасс,2021,3.1
Новосибирская область,2021,8.6
Омская область,2021,3.4
Томская область,2021,5.6
Дальневосточный федеральный округ1),2021,1.6
Республика Бурятия,2021,0.5
Республика Саха (Якутия),2021,2.1
Забайкальский край,2021,0.9
Камчатский край,2021,1.5
Приморский край,2021,1.6
Хабаровский край,2021,2.2
Амурская область,2021,2.4
Магаданская область,2021,1.3
Сахалинская область,2021,1.2
Еврейская авт.область,2021,1.0
Центральный федеральный округ,2022,7.9
Белгородская область,2022,4.0
Брянская область,2022,4.3
Владимирская область,2022,2.4
Воронежская область,2022,5.8
Ивановская область,2022,3.3
Калужская область,2022,4.0
Костромская область,2022,5.0
Курская область,2022,3.5
Липецкая область,2022,4.9
Московская область,2022,10.1
Орловская область,2022,4.8
Рязанская область,2022,2.0
Смоленская область,2022,1.8
Тамбовская область,2022,5.2
Тверская область,2022,1.8
Тульская область,2022,1.6
Ярославская область,2022,2.5
г.Москва,2022,10.3
Северо-Западный федеральный округ,2022,8.7
Республика Карелия,2022,2.5
Республика Коми,2022,4.8
Архангельская область,2022,6.0
Ненецкий автономный округ (Архангельская область),2022,2.4
Архангельская область (кроме Ненецкого автономного округа),2022,6.2
Вологодская область,2022,3.4
Калининградская область,2022,1.7
Ленинградская область,2022,6.5
Мурманская область,2022,4.6
Новгородская область,2022,4.1
Псковская область,2022,1.9
г. Санкт-Петербург,2022,13.5
Южный федеральный округ,2022,5.2
Республика Адыгея,2022,4.3
Республика Калмыкия,2022,1.0
Республика Крым,2022,6.3
Краснодарский край,2022,4.6
Астраханская область,2022,1.6
Волгоградская область,2022,5.2
Ростовская область,2022,6.5
г. Севастополь,2022,7.6
Северо-Кавказский федеральный округ,2022,1.3
Республика Дагестан,2022,0.1
Республика Ингушетия,2022,0.3
Кабардино-Балкарская Республика,2022,0.2
Карачаево-Черкесская Республика,2022,0.9
Республика Северная Осетия -Алания,2022,0.6
Чеченская Республика,2022,0.1
Ставропольский край,2022,4.0
Приволжский федеральный округ,2022,4.5
Республика Башкортостан,2022,1.2
Республика Марий Эл,2022,3.4
Республика Мордовия,2022,5.8
Республика Татарстан,2022,6.4
Удмуртская Республика,2022,4.1
Чувашская Республика,2022,4.0
Пермский край,2022,3.3
Кировская область,2022,5.5
Нижегородская область,2022,6.3
Оренбургская область,2022,3.9
Пензенская область,2022,2.0
Самарская область,2022,5.9
Саратовская область,2022,5.3
Ульяновская область,2022,4.5
Уральский федеральный округ,2022,6.2
Курганская область,2022,3.4
Свердловская область,2022,9.0
Тюменская область,2022,3.2
в том числе: Ханты-Мансийский авт. округ,2022,3.1
Ямало-Ненецкий авт. округ,2022,3.0
Тюменская область без авт. округов,2022,3.5
Челябинская область,2022,6.2
Сибирский федеральный округ1),2022,5.1
Республика Алтай,2022,6.4
Республика Тыва,2022,2.0
Республика Хакасия,2022,0.8
Алтайский край,2022,5.7
Красноярский край,2022,2.4
Иркутская область,2022,2.5
Кемеровская область - Кузбасс,2022,6.3
Новосибирская область,2022,8.7
Омская область,2022,4.7
Томская область,2022,5.8
Дальневосточный федеральный округ1),2022,1.8
Республика Бурятия,2022,0.4
Республика Саха (Якутия),2022,2.3
Забайкальский край,2022,0.8
Камчатский край,2022,1.5
Приморский край,2022,2.2
Хабаровский край,2022,2.4
Амурская область,2022,2.7
Магаданская область,2022,1.1
Сахалинская область,2022,1.3
Еврейская авт.область,2022,1.0
Центральный федеральный округ,2023,10.7
Белгородская область,2023,4.3
Брянская область,2023,4.8
Владимирская область,2023,4.1
Воронежская область,2023,6.1
Ивановская область,2023,4.8
Калужская область,2023,4.8
Костромская область,2023,5.3
Курская область,2023,4.6
Липецкая область,2023,5.4
Московская область,2023,10.6
Орловская область,2023,6.0
Рязанская область,2023,4.3
Смоленская область,2023,2.7
Тамбовская область,2023,4.6
Тверская область,2023,4.1
Тульская область,2023,4.4
Ярославская область,2023,8.3
г.Москва,2023,15.5
Северо-Западный федеральный округ,2023,12.3
Республика Карелия,2023,4.3
Республика Коми,2023,6.0
Архангельская область,2023,7.6
Ненецкий автономный округ (Архангельская область),2023,3.1
Архангельская область (кроме Ненецкого автономного округа),2023,7.8
Вологодская область,2023,5.5
Калининградская область,2023,2.0
Ленинградская область,2023,6.8
Мурманская область,2023,8.3
Новгородская область,2023,5.8
Псковская область,2023,2.3
г. Санкт-Петербург,2023,19.0
Южный федеральный округ,2023,6.3
Республика Адыгея,2023,7.0
Республика Калмыкия,2023,36.5
Республика Крым,2023,6.4
Краснодарский край,2023,5.1
Астраханская область,2023,1.9
Волгоградская область,2023,6.4
Ростовская область,2023,7.4
г. Севастополь,2023,7.1
Северо-Кавказский федеральный округ,2023,1.9
Республика Дагестан,2023,0.2
Республика Ингушетия,2023,0.3
Кабардино-Балкарская Республика,2023,0.3
Карачаево-Черкесская Республика,2023,1.0
Республика Северная Осетия -Алания,2023,1.4
Чеченская Республика,2023,0.2
Ставропольский край,2023,5.3
Приволжский федеральный округ,2023,6.0
Республика Башкортостан,2023,5.7
Республика Марий Эл,2023,3.1
Республика Мордовия,2023,8.8
Республика Татарстан,2023,7.5
Удмуртская Республика,2023,8.9
Чувашская Республика,2023,4.6
Пермский край,2023,3.7
Кировская область,2023,7.1
Нижегородская область,2023,5.9
Оренбургская область,2023,5.1
Пензенская область,2023,3.7
